,index,Source,Info Category,Project name,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub
0,498,IEA,Energy Project,Santos Carnavon Basin storage (Reindeer CCS),Australia,Santos Offshore Pty Ltd (50% and Operator) and Chevron Australia Pty Ltd (50%),Storage,2022.0,2025.0,2028.0,,Planned,,2.4,2.4,CO2 storage,Dedicated storage,Santos Carnavon Basin storage (Reindeer CCS)
1,266,IEA,Energy Project,H2Perth Woodside,Australia,"Woodside, McDermott (pre-FEED)",Full chain,2021.0,2023.0,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
2,48,IEA,Energy Project,Barossa and Darwin liquefied natural gas (DLNG) CCUS,Australia,"Santos (43.4%), SK E&S, JERA",Capture,2021.0,2023.0,2025.0,,Planned,,2.3,2.3,Natural gas processing,Dedicated storage,Bayu-Undan field storage hub
3,516,IEA,Energy Project,South West Hub Project,Australia,"Department of Mines, Industry Regulation and Safety (DMIRS)",Storage,2010.0,,,,Planned,,0.8,0.8,CO2 T&S,Dedicated storage,South West Hub Project
4,100,IEA,Energy Project,CarbonNet,Australia,"Victorian Government/Australian Government, (DNV)",T&S,2010.0,2024.0,2030.0,,Planned,,5.0,5.0,CO2 T&S,Dedicated storage,CarbonNET
5,515,IEA,Energy Project,South West Blue Hydrogen,Australia,Pilot Energy,Capture,2021.0,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,South West Hub Project
6,514,IEA,Energy Project,South East Australia carbon capture and storage (SEA CCS) hub,Australia,"Esso Australia Resources Pty Ltd, BHP Petroleum Pty Ltd ",T&S,2022.0,,2025.0,,Planned,,2.0,2.0,CO2 T&S,Dedicated storage,Sea CCS hub
7,59,IEA,Energy Project,Bonaparte CCS Assessment G7-AP,Australia,"Inpex (53%), TotalEnergies (26%), Woodside (21%, operator)",Storage,2022.0,,2026.0,,Planned,,2.0,2.0,CO2 storage,Dedicated storage,
8,60,IEA,Energy Project,Boral Southern Highlands cement and lime facilities,Australia,"Boral, Calix",CCU,2022.0,,,,Planned,,0.1,0.1,Other industry,Use,
9,293,IEA,Energy Project,Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),Australia,"Kawasaki heavy industries, J-POWER, Iwatani Corporation, Marubeni Corporation, AGL, Sumitomo Corporation",Capture,2018.0,,2030.0,,Planned,1.0,1.8,4.39,Hydrogen/ammonia,Dedicated storage,CarbonNET
10,230,IEA,Energy Project,Geovault Carnarvon Basin CCS assessment,Australia,Buru Energy (Geovault) and Energy Resources Ltd,Storage,2022.0,,,,Planned,,,,CO2 storage,Dedicated storage,
