,index,Source,Info Category,COUNTRY,TIME,PRODUCT,EFFICIENCY,FOSSILFUEL,HGENCELL,NUCLEAR,OTHERPANDS,OTHERTECH,RENEWABLE,TOTAL,UNALLOC
4,4,IEA,Energy Budget,AUSTRALI,1979,RDDUSD,,"49,627,000.0",,,,,"23,796,000.0","73,423,000.0",
10,10,IEA,Energy Budget,AUSTRALI,1980,RDDUSD,"18,165,000.0","69,799,000.0",,,"6,526,000.0","12,244,000.0","33,503,999.999999996","140,238,000.0",
16,16,IEA,Energy Budget,AUSTRALI,1981,RDDUSD,"21,415,000.0","80,315,000.0",,,"7,240,000.0","16,344,000.000000002","41,486,000.0","166,801,000.0",
22,22,IEA,Energy Budget,AUSTRALI,1983,RDDUSD,"32,424,000.0","112,141,000.0",,"37,840,000.0","12,538,000.0","14,519,000.0","32,725,000.0","242,162,000.0",
28,28,IEA,Energy Budget,AUSTRALI,1985,RDDUSD,"19,871,000.0","77,752,000.0",,"23,962,000.0","8,766,000.0","562,000.0","21,264,000.0","152,177,000.0",
34,34,IEA,Energy Budget,AUSTRALI,1987,RDDUSD,"10,596,000.0","66,203,999.99999999",,"41,593,000.0","2,115,000.0","811,000.0","2,056,000.0","123,355,000.0",
40,40,IEA,Energy Budget,AUSTRALI,1989,RDDUSD,"11,055,000.0","73,862,000.0",,"37,580,000.0","19,413,000.0","3,303,000.0","9,386,000.0","154,599,000.0",
46,46,IEA,Energy Budget,AUSTRALI,1993,RDDUSD,"10,281,000.0","104,428,000.0",,"1,778,000.0","12,739,000.0","24,488,000.0","16,897,000.0","170,610,000.0",
52,52,IEA,Energy Budget,AUSTRALI,1995,RDDUSD,"20,642,000.0","89,423,000.0",,"11,604,000.0","10,017,000.0","32,929,000.000000004","7,939,000.0","172,554,000.0",
58,58,IEA,Energy Budget,AUSTRALI,1997,RDDUSD,"14,620,000.0","163,675,000.0",,"1,709,000.0","9,346,000.0","25,943,000.0","11,796,000.0","227,088,000.0",
64,64,IEA,Energy Budget,AUSTRALI,1999,RDDUSD,"13,327,000.0","125,977,000.0",,"5,074,000.0","16,733,000.0","12,804,000.0","19,022,000.0","192,937,000.0",
70,70,IEA,Energy Budget,AUSTRALI,2001,RDDUSD,"17,886,000.0","123,658,000.0",,"5,557,000.0","10,773,000.0","25,221,000.0","20,226,000.0","203,321,000.0",
76,76,IEA,Energy Budget,AUSTRALI,2003,RDDUSD,"16,617,000.0","101,985,000.0",,"1,653,000.0","7,698,000.0","39,378,000.0","19,849,000.0","187,180,000.0",
82,82,IEA,Energy Budget,AUSTRALI,2004,RDDUSD,"57,978,000.0","64,568,000.0","358,000.0","36,624,000.0","11,501,000.0","156,731,000.0","46,381,000.0","374,143,000.0",
88,88,IEA,Energy Budget,AUSTRALI,2005,RDDUSD,"36,480,000.0","60,963,000.0",,"24,888,000.0","13,609,000.0","96,751,000.0","33,009,999.999999996","265,701,000.00000003",
94,94,IEA,Energy Budget,AUSTRALI,2006,RDDUSD,"33,025,000.0","70,684,000.0","218,000.0","19,184,000.0","14,408,000.0","109,246,000.0","42,291,000.0","289,055,000.0",
100,100,IEA,Energy Budget,AUSTRALI,2007,RDDUSD,"35,857,000.0","74,698,000.0","685,000.0","16,367,000.0","14,415,000.0","127,328,000.0","51,122,000.0","320,471,000.0",
106,106,IEA,Energy Budget,AUSTRALI,2008,RDDUSD,"42,807,000.0","70,492,000.0","326,000.0","25,510,000.0","14,025,000.0","128,027,999.99999999","44,986,000.0","326,173,000.0",
