"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Natural gas - Gross production","2021","Terajoules","3185","1"
"Afghanistan","Natural gas - Gross production","2020","Terajoules","3129.4842",""
"Afghanistan","Natural gas - Gross production","2019","Terajoules","5022.0027",""
"Afghanistan","Natural gas - Gross production","2018","Terajoules","5978.0172",""
"Afghanistan","Natural gas - Gross production","2017","Terajoules","6091.1781",""
"Afghanistan","Natural gas - Gross production","2016","Terajoules","6450.1713",""
"Afghanistan","Natural gas - Gross production","2015","Terajoules","5704.8702",""
"Afghanistan","Natural gas - Gross production","2014","Terajoules","5537.0799",""
"Afghanistan","Natural gas - Gross production","2013","Terajoules","6028.7445",""
"Afghanistan","Natural gas - Gross production","2012","Terajoules","6243",""
"Afghanistan","Natural gas - Gross production","2011","Terajoules","6282",""
"Afghanistan","Natural gas - Gross production","2010","Terajoules","5541",""
"Afghanistan","Natural gas - Gross production","2009","Terajoules","5541",""
"Afghanistan","Natural gas - Gross production","2008","Terajoules","6048",""
"Afghanistan","Natural gas - Gross production","2007","Terajoules","6282",""
"Afghanistan","Natural gas - Gross production","2006","Terajoules","6672",""
"Afghanistan","Natural gas - Gross production","2005","Terajoules","6711",""
"Afghanistan","Natural gas - Gross production","2004","Terajoules","4643",""
"Afghanistan","Natural gas - Gross production","2003","Terajoules","9443",""
"Afghanistan","Natural gas - Gross production","2002","Terajoules","11121",""
"Afghanistan","Natural gas - Gross production","2001","Terajoules","4700",""
"Afghanistan","Natural gas - Gross production","2000","Terajoules","5000",""
"Afghanistan","Natural gas - Gross production","1999","Terajoules","5400",""
"Afghanistan","Natural gas - Gross production","1998","Terajoules","5800",""
"Afghanistan","Natural gas - Gross production","1997","Terajoules","6200",""
"Afghanistan","Natural gas - Gross production","1996","Terajoules","6700",""
"Afghanistan","Natural gas - Gross production","1995","Terajoules","7000",""
"Afghanistan","Natural gas - Gross production","1994","Terajoules","7300",""
"Afghanistan","Natural gas - Gross production","1993","Terajoules","7600",""
"Afghanistan","Natural gas - Gross production","1992","Terajoules","7843",""
"Afghanistan","Natural gas - Gross production","1991","Terajoules","8585",""
"Afghanistan","Natural gas - Gross production","1990","Terajoules","8897",""
"Albania","Natural gas - Gross production","2021","Terajoules","2060",""
"Albania","Natural gas - Gross production","2020","Terajoules","2061.03",""
"Albania","Natural gas - Gross production","2019","Terajoules","2681.59",""
"Albania","Natural gas - Gross production","2018","Terajoules","3075.6",""
"Albania","Natural gas - Gross production","2017","Terajoules","3422.486",""
"Albania","Natural gas - Gross production","2016","Terajoules","3307.6",""
"Albania","Natural gas - Gross production","2015","Terajoules","1273",""
"Albania","Natural gas - Gross production","2014","Terajoules","1154.81",""
"Albania","Natural gas - Gross production","2013","Terajoules","678.38",""
"Albania","Natural gas - Gross production","2012","Terajoules","613.98",""
"Albania","Natural gas - Gross production","2011","Terajoules","627.3",""
"Albania","Natural gas - Gross production","2010","Terajoules","537.99",""
"Albania","Natural gas - Gross production","2009","Terajoules","342.12",""
"Albania","Natural gas - Gross production","2008","Terajoules","335",""
"Albania","Natural gas - Gross production","2007","Terajoules","670",""
"Albania","Natural gas - Gross production","2006","Terajoules","419",""
"Albania","Natural gas - Gross production","2005","Terajoules","419",""
"Albania","Natural gas - Gross production","2004","Terajoules","636",""
"Albania","Natural gas - Gross production","2003","Terajoules","544",""
"Albania","Natural gas - Gross production","2002","Terajoules","544",""
"Albania","Natural gas - Gross production","2001","Terajoules","327",""
"Albania","Natural gas - Gross production","2000","Terajoules","419",""
"Albania","Natural gas - Gross production","1999","Terajoules","628",""
"Albania","Natural gas - Gross production","1998","Terajoules","644",""
