,Country or Area,Year,Unit,Quantity
0,Afghanistan,2021,"Kilowatt-hours, million",884.72293
1,Afghanistan,2020,"Kilowatt-hours, million",869.3018621076
2,Afghanistan,2019,"Kilowatt-hours, million",1395.0018660006
3,Afghanistan,2018,"Kilowatt-hours, million",1660.5616617816
4,Afghanistan,2017,"Kilowatt-hours, million",1691.9952702618
5,Afghanistan,2016,"Kilowatt-hours, million",1791.7156833713998
6,Afghanistan,2015,"Kilowatt-hours, million",1584.6874344156001
7,Afghanistan,2014,"Kilowatt-hours, million",1538.0789804622
8,Afghanistan,2013,"Kilowatt-hours, million",1674.652589721
9,Afghanistan,2012,"Kilowatt-hours, million",1734.168054
10,Afghanistan,2011,"Kilowatt-hours, million",1745.001396
11,Afghanistan,2010,"Kilowatt-hours, million",1539.167898
12,Afghanistan,2009,"Kilowatt-hours, million",1539.167898
13,Afghanistan,2008,"Kilowatt-hours, million",1680.001344
14,Afghanistan,2007,"Kilowatt-hours, million",1745.001396
15,Afghanistan,2006,"Kilowatt-hours, million",1853.334816
16,Afghanistan,2005,"Kilowatt-hours, million",1864.168158
17,Afghanistan,2004,"Kilowatt-hours, million",1289.723254
18,Afghanistan,2003,"Kilowatt-hours, million",2623.057654
19,Afghanistan,2002,"Kilowatt-hours, million",3089.169138
20,Afghanistan,2001,"Kilowatt-hours, million",1305.5566
21,Afghanistan,2000,"Kilowatt-hours, million",1388.89
22,Afghanistan,1999,"Kilowatt-hours, million",1500.0012
23,Afghanistan,1998,"Kilowatt-hours, million",1611.1124
24,Afghanistan,1997,"Kilowatt-hours, million",1722.2236
25,Afghanistan,1996,"Kilowatt-hours, million",1861.1126
26,Afghanistan,1995,"Kilowatt-hours, million",1944.446
27,Afghanistan,1994,"Kilowatt-hours, million",2027.7794
28,Afghanistan,1993,"Kilowatt-hours, million",2111.1128
29,Afghanistan,1992,"Kilowatt-hours, million",2178.612854
30,Afghanistan,1991,"Kilowatt-hours, million",2384.72413
31,Afghanistan,1990,"Kilowatt-hours, million",2471.390866
32,Albania,2021,"Kilowatt-hours, million",572.22268
33,Albania,2020,"Kilowatt-hours, million",572.50879134
34,Albania,2019,"Kilowatt-hours, million",744.88670702
35,Albania,2018,"Kilowatt-hours, million",854.3340168
36,Albania,2017,"Kilowatt-hours, million",950.6913161079999
37,Albania,2016,"Kilowatt-hours, million",918.7785127999999
38,Albania,2015,"Kilowatt-hours, million",353.611394
39,Albania,2014,"Kilowatt-hours, million",320.78081218
40,Albania,2013,"Kilowatt-hours, million",188.43903963999998
41,Albania,2012,"Kilowatt-hours, million",170.55013644
42,Albania,2011,"Kilowatt-hours, million",174.25013939999997
43,Albania,2010,"Kilowatt-hours, million",149.44178622
44,Albania,2009,"Kilowatt-hours, million",95.03340936
